Country Name,Country Code,Indicator Name,Indicator Code,2000,2005,2010,2015
World,WLD,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,84.9904174804688,88.8357696533203,90.7195587158203,91.1550903320313
World,WLD,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,81.9029083251953,85.3133850097656,85.3157577514648,
World,WLD,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,76.9529037475585,81.4823913574219,81.486228942871,
World,WLD,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,86.9286880493164,89.2046661376953,89.2056884765625,
Afghanistan,AFG,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,,,,
Afghanistan,AFG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,
Afghanistan,AFG,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,,,,
Afghanistan,AFG,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,,,,
Albania,ALB,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,95.8898773193359,,91.0338668823242,
Albania,ALB,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,
Albania,ALB,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,,,,
Albania,ALB,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,,,,
Algeria,DZA,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,90.5237197875977,95.5387573242188,98.6604766845703,98.8130264282227
Algeria,DZA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,
Algeria,DZA,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,,,,
Algeria,DZA,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,,,,
American Samoa,ASM,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,,,,
American Samoa,ASM,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,
American Samoa,ASM,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,,,,
American Samoa,ASM,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,,,,
Andorra,AND,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,,,,
Andorra,AND,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,100.0
Andorra,AND,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,,,,100.0
Andorra,AND,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,,,,100.0
Angola,AGO,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,,,81.3394393920898,
Angola,AGO,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,
Angola,AGO,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,,,,
Angola,AGO,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,,,,
Antigua and Barbuda,ATG,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,,,89.4789962768555,90.253303527832
Antigua and Barbuda,ATG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,
Antigua and Barbuda,ATG,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,,,,
Antigua and Barbuda,ATG,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,,,,
Argentina,ARG,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,99.548469543457,99.345832824707,99.0661087036133,
Argentina,ARG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,98.09
Argentina,ARG,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,,,,98.13
Argentina,ARG,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,,,,98.04
Armenia,ARM,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,,87.5530319213867,,96.423713684082
Armenia,ARM,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,
Armenia,ARM,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,,,,
Armenia,ARM,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,,,,
